airport1,airport2,Oneworld,StarAlliance,Skyteam
ARN,DXB,2.0,0.0,0.0
ARN,HEL,2.0,6.0,0.0
ARN,LCY,2.0,0.0,0.0
ARN,LHR,8.0,4.0,0.0
ARN,MAD,2.0,2.0,0.0
ARN,TXL,2.0,4.0,0.0
ARN,VIE,2.0,2.0,0.0
ART,ORD,2.0,0.0,0.0
ART,PHL,2.0,0.0,0.0
ASB,DME,2.0,0.0,0.0
ASB,URC,2.0,0.0,0.0
ASF,DME,2.0,0.0,0.0
ASJ,HND,2.0,0.0,0.0
ASJ,ITM,2.0,0.0,0.0
ASP,AYQ,2.0,0.0,0.0
ASP,BNE,2.0,0.0,0.0
ASP,CNS,2.0,0.0,0.0
ASP,DRW,2.0,0.0,0.0
ASP,MEL,2.0,0.0,0.0
ASP,PER,2.0,0.0,0.0
ASP,SYD,4.0,0.0,0.0
ASU,EZE,2.0,0.0,2.0
ASU,GRU,2.0,0.0,0.0
ASU,MIA,2.0,0.0,0.0
ATH,BCN,2.0,2.0,0.0
ATH,DME,2.0,2.0,0.0
ATH,DOH,4.0,0.0,0.0
ATH,LHR,4.0,2.0,0.0
ATH,PHL,2.0,2.0,0.0
ATL,CLT,2.0,0.0,8.0
ATL,DFW,6.0,0.0,9.0
ATL,IAH,1.0,4.0,9.0
ATL,LHR,8.0,0.0,6.0
ATL,MIA,6.0,0.0,10.0
ATL,ORD,15.0,8.0,8.0
ATL,PHL,2.0,0.0,10.0
ATL,PHX,2.0,0.0,8.0
ATQ,DOH,2.0,0.0,0.0
AUA,CLT,2.0,0.0,0.0
AUA,MIA,2.0,0.0,0.0
AUA,PHL,2.0,0.0,0.0
AUH,BAH,1.0,1.0,8.0
AUH,CMB,4.0,0.0,2.0
AUH,DME,2.0,0.0,0.0
AUH,DOH,2.0,0.0,0.0
AUH,DUS,2.0,0.0,0.0
AUH,IAD,2.0,0.0,0.0
AUH,ISB,2.0,0.0,2.0
AUH,JFK,2.0,0.0,0.0
AUH,KUL,2.0,0.0,3.0
AUH,KWI,1.0,0.0,2.0
AUH,LHE,2.0,0.0,4.0
AUH,LHR,6.0,1.0,0.0
AUH,MCT,8.0,4.0,2.0
AUH,ORD,2.0,0.0,0.0
AUS,CLT,2.0,0.0,0.0
AUS,DFW,2.0,0.0,0.0
AUS,JFK,2.0,0.0,2.0
AUS,LAX,2.0,2.0,0.0
AUS,LHR,8.0,0.0,0.0
AUS,MSY,2.0,0.0,0.0
AUS,ORD,2.0,2.0,0.0
AUS,PHL,2.0,0.0,0.0
AUS,PHX,2.0,0.0,0.0
AVA,CAN,2.0,0.0,0.0
AVL,CLT,2.0,0.0,0.0
AVP,CLT,2.0,0.0,0.0
AVP,PHL,2.0,0.0,0.0
AXT,CTS,2.0,2.0,0.0
AXT,HND,2.0,2.0,0.0
AXT,ITM,2.0,2.0,0.0
AYQ,CNS,2.0,0.0,0.0
AYT,HEL,2.0,0.0,0.0
AZO,ORD,2.0,0.0,0.0
BAH,BKK,2.0,2.0,0.0
BAH,CMB,2.0,0.0,0.0
BAH,DOH,8.0,8.0,0.0
BAH,DXB,3.0,0.0,0.0
BAH,LHR,6.0,0.0,0.0
BAV,CGO,2.0,0.0,0.0
BAV,CSX,2.0,0.0,0.0
BAV,CTU,2.0,0.0,0.0
BAV,SHE,2.0,0.0,0.0
BAV,SJW,2.0,0.0,2.0
BAV,URC,2.0,0.0,0.0
BAV,WUH,2.0,0.0,0.0
BAX,DME,2.0,0.0,0.0
BBN,MUR,2.0,0.0,0.0
BBN,MYY,2.0,0.0,0.0
BCI,LRE,1.0,0.0,0.0
BCN,BES,2.0,0.0,0.0
BCN,BGO,2.0,0.0,0.0
BCN,BIO,2.0,0.0,0.0
BCN,BJL,2.0,0.0,0.0
BCN,BLQ,2.0,0.0,0.0
BCN,BOD,2.0,0.0,0.0
BCN,BRI,2.0,0.0,0.0
BCN,BRU,2.0,2.0,0.0
BCN,CDG,2.0,0.0,4.0
BCN,CMN,2.0,0.0,0.0
BCN,CPH,2.0,2.0,0.0
BCN,CTA,2.0,0.0,0.0
BCN,CWL,2.0,0.0,0.0
BCN,DBV,2.0,0.0,0.0
BCN,DKR,2.0,0.0,0.0
BCN,DME,2.0,0.0,0.0
BCN,DOH,4.0,0.0,0.0
BCN,DRS,2.0,0.0,0.0
BCN,DTM,2.0,0.0,0.0
BCN,DUS,2.0,0.0,0.0
BCN,EAS,2.0,0.0,0.0
BCN,EDI,2.0,0.0,0.0
BCN,FCO,2.0,0.0,2.0
BCN,FEZ,2.0,0.0,0.0
BCN,FLR,2.0,0.0,0.0
BCN,FRA,2.0,4.0,0.0
BCN,FUE,2.0,0.0,0.0
BCN,GOA,2.0,0.0,0.0
BCN,GOT,2.0,0.0,0.0
BCN,GRX,2.0,0.0,0.0
BCN,HAJ,2.0,0.0,0.0
BCN,HAM,2.0,0.0,0.0
BCN,HEL,4.0,0.0,0.0
BCN,IBZ,2.0,0.0,0.0
BCN,IEV,2.0,0.0,0.0
BCN,JFK,10.0,0.0,6.0
BCN,KBP,2.0,0.0,0.0
BCN,LCG,2.0,0.0,0.0
BCN,LED,2.0,0.0,2.0
BCN,LEI,2.0,0.0,0.0
BCN,LEJ,2.0,0.0,0.0
BCN,LEN,2.0,0.0,0.0
BCN,LGW,4.0,0.0,0.0
BCN,LHR,6.0,0.0,0.0
BCN,LIL,2.0,0.0,0.0
BCN,LIS,2.0,2.0,0.0
BCN,LPA,2.0,0.0,0.0
BCN,LUX,2.0,0.0,0.0
BCN,LYS,2.0,0.0,0.0
BCN,MAD,2.0,0.0,2.0
BCN,MAH,2.0,0.0,0.0
BCN,MIA,8.0,0.0,0.0
BCN,MLA,2.0,0.0,0.0
BCN,MRS,2.0,0.0,0.0
BCN,MUC,2.0,2.0,0.0
BCN,MXP,2.0,2.0,0.0
BCN,NAP,2.0,0.0,0.0
BCN,NCE,2.0,0.0,0.0
BCN,NDR,2.0,0.0,0.0
BCN,NTE,2.0,0.0,0.0
BCN,NUE,2.0,0.0,0.0
BCN,OPO,2.0,2.0,0.0
BCN,ORN,2.0,0.0,0.0
BCN,ORY,2.0,0.0,0.0
BCN,OSL,2.0,2.0,0.0
BCN,OTP,2.0,0.0,4.0
BCN,OVD,2.0,0.0,0.0
BCN,PHL,2.0,0.0,0.0
BCN,PMI,2.0,0.0,6.0
BCN,PMO,2.0,0.0,0.0
BCN,PRG,2.0,0.0,4.0
BCN,PSA,2.0,0.0,0.0
BCN,RAK,2.0,0.0,0.0
BCN,RGS,2.0,0.0,0.0
BCN,RNS,2.0,0.0,0.0
BCN,SCQ,2.0,0.0,0.0
BCN,SDR,2.0,0.0,0.0
BCN,SLM,2.0,0.0,0.0
BCN,STR,2.0,0.0,0.0
BCN,SVG,2.0,0.0,0.0
BCN,SVQ,2.0,0.0,0.0
BCN,TFN,2.0,0.0,3.0
BCN,TFS,2.0,0.0,0.0
BCN,TLS,2.0,0.0,0.0
BCN,TLV,2.0,0.0,0.0
BCN,TNG,2.0,0.0,0.0
BCN,TRN,2.0,0.0,0.0
BCN,TXL,2.0,2.0,0.0
BCN,VCE,2.0,0.0,0.0
BCN,VGO,2.0,0.0,0.0
BCN,VIE,2.0,4.0,0.0
BCN,VLL,2.0,0.0,0.0
BCN,WAW,2.0,2.0,0.0
BCN,XRY,2.0,0.0,0.0
BCN,ZAG,2.0,2.0,0.0
BCN,ZRH,2.0,2.0,0.0
BDA,JFK,2.0,0.0,2.0
BDA,LGW,4.0,0.0,0.0
BDA,MIA,2.0,0.0,0.0
BDA,PHL,2.0,0.0,0.0
BDB,BNE,2.0,0.0,0.0
BDL,CLT,2.0,0.0,0.0
BDL,DCA,2.0,0.0,0.0
BDL,DFW,2.0,0.0,0.0
BDL,LAX,2.0,0.0,0.0
BDL,MIA,2.0,0.0,0.0
BDL,ORD,2.0,2.0,0.0
BDL,PHL,2.0,0.0,0.0
BDL,PIT,2.0,0.0,0.0
